,place_id,osm_id,name,rating,total_reviews,price,geometry,index_right,cartodb_id,info,zone_e_rioni,quartieri,nome
851,159912424,235599951.0,The New,4.0,21,1.0,POINT (12.482389469755322 41.79202545),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
891,339702202,9773490546.0,"Eat, Artisti del Gusto Illy",2.5,42,1.0,POINT (12.4455664 41.7181711),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
912,138049739,158968696.0,Fishetto,4.0,190,1.0,POINT (12.4438667 41.7140443),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
921,133961979,142038123.0,Pizza13 di Alessandro Abbate,4.5,52,1.0,POINT (12.4348756 41.7969996),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
946,68277044,6303511487.0,"Lievito Pizza, Pane",4.0,95,2.5,POINT (12.4738315 41.8297913),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
952,119654815,76579079.0,La Perla Nera Lounge Bar,4.0,11,1.0,POINT (12.4254139 41.8009074),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
987,110656013,31876079.0,Exe Origine,3.5,60,2.5,POINT (12.4723547 41.8329553),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
994,109316144,29306543.0,Pizzeria La Melissa,4.5,6,2.5,POINT (12.4386333 41.7762175),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1028,108340461,27611527.0,Le Jardin Potager,5.0,65,2.5,POINT (12.5215497 41.800237),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1063,135865533,149341705.0,100 Montaditos,3.5,73,1.0,POINT (12.45950934721992 41.817101550000004),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1073,106546630,26156073.0,Ristorante La Stiva Specialità Pesce e Non Solo,4.0,17,4.0,POINT (12.4796528 41.7691052),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1074,110062546,29468019.0,Cuore e Gusto,4.5,39,2.5,POINT (12.4085133 41.7944244),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1090,108644364,29300531.0,Birreria Numero 10,4.5,8,2.5,POINT (12.4723023 41.7671007),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1099,148845513,202723748.0,Al Panino Ricco,5.0,2,1.0,POINT (12.5346364 41.7957639),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1148,148081329,189740276.0,Rue Burger Roma,4.0,59,2.5,POINT (12.4475649 41.8213308),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1149,130627466,128167847.0,Gran Bar Pasticceria Tavola Calda,3.5,13,2.5,POINT (12.4411457 41.7839818),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1178,109554142,29467712.0,Saporito Forno-Laboratorio-Cucina,5.0,10,2.5,POINT (12.4098793 41.7899461),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1181,110839036,34612432.0,Namastè Aperitivo,5.0,1,2.5,POINT (12.4672351 41.8350829),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
1209,148081329,189740276.0,Fisheria,4.0,125,4.0,POINT (12.4475649 41.8213308),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
