,Unnamed: 0,url,place_id,osm_id,name,rating,total_reviews,price,geometry,index_right,cartodb_id,info,zone_e_rioni,quartieri,nome,cuisines,diets
7642,3219,https://www.tripadvisor.it/Restaurant_Review-g187791-d19896985-Reviews-Officine_Interni_Cafe-Rome_Lazio.html,131679504,131200814.0,Officine Interni Cafè,5.0,6,4.0,POINT (12.327877 41.7525313),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Italiana,Per vegetariani
7643,3295,https://www.tripadvisor.it/Restaurant_Review-g187791-d20104412-Reviews-Monica_Li-Rome_Lazio.html,133022839,131294365.0,Monica Li,2.5,20,2.5,POINT (12.3606861 41.732842),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),,
7644,3325,https://www.tripadvisor.it/Restaurant_Review-g187791-d20231703-Reviews-Masaniello_LAB-Rome_Lazio.html,131197623,131406130.0,Masaniello LAB,3.5,4,1.0,POINT (12.3758565 41.7328325),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Pizza, Napoletana, Campana, Romana, Laziale, Italiana (centro), Italiana (sud)",
7645,3336,https://www.tripadvisor.it/Restaurant_Review-g187791-d20266805-Reviews-Pagnottella_s-Rome_Lazio.html,106627340,26448878.0,Pagnottella's,4.0,5,2.5,POINT (12.331589 41.7882181),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),,
7646,3381,https://www.tripadvisor.it/Restaurant_Review-g187791-d2041868-Reviews-Trattoria_Romana_I_Ciarli-Rome_Lazio.html,109306275,30061594.0,Trattoria Romana I Ciarli,4.5,342,2.5,POINT (12.3821657 41.7542502),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Barbecue, Europea, Romana, Laziale, Italiana (centro)","Per vegetariani, Opzioni vegane"
7647,3386,https://www.tripadvisor.it/Restaurant_Review-g187791-d2044571-Reviews-Franco_Il_Ghiotto-Rome_Lazio.html,109951861,30156910.0,Franco Il Ghiotto,3.5,77,1.0,POINT (12.3197503 41.7662303),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Pizza","Per vegetariani, Opzioni vegane"
7648,3414,https://www.tripadvisor.it/Restaurant_Review-g187791-d2061937-Reviews-Osteria_Scarchilli-Rome_Lazio.html,123186061,97381645.0,Osteria Scarchilli,4.0,220,2.5,POINT (12.373239766846726 41.76863285),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Mediterranea, Barbecue, Romana, Laziale, Italiana (centro)",Per vegetariani
7649,3453,https://www.tripadvisor.it/Restaurant_Review-g187791-d20913224-Reviews-Fraschetteria_da_Luca-Rome_Lazio.html,116762997,55219136.0,Fraschetteria da Luca,4.5,12,2.5,POINT (12.3577889 41.7179419),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Steakhouse,Per vegetariani
7650,3483,https://www.tripadvisor.it/Restaurant_Review-g187791-d20990495-Reviews-Doc_Pizza-Rome_Lazio.html,135780705,143897330.0,Doc Pizza,3.0,1,2.5,POINT (12.394589 41.787471),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Pizza,
7651,3510,https://www.tripadvisor.it/Restaurant_Review-g187791-d21037185-Reviews-Cargo_Burger_LAB-Rome_Lazio.html,107814537,26438006.0,Cargo Burger Lab,5.0,153,2.5,POINT (12.3450494 41.7801055),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Americana, Fast food, Birrerie con ristorante, Pub","Per vegetariani, Opzioni vegane"
